Data,ID,Name,Power,Alliance,T4-Kills,T5-Kills,Total Kill Points,Dead Troops,Troops Power
2025/07/29,56436934,cre556,"115,102,090",62Ys,"148,724,759","226,882,867","6,072,828,054","51,541,078","54,874,170"
2025/07/29,62121593,ᴾʳItsukiちゃま,"107,271,582",62Ys,"187,798,377","252,094,653","6,957,050,304","49,169,092","48,890,812"
2025/07/29,45172788,紅ᶜ虎tärö,"105,396,514",62Ys,"285,576,329","468,262,801","12,257,922,454","41,245,871","45,335,294"
2025/07/29,138315117,yaki180sx,"102,553,293",62Ys,"65,355,683","223,214,058","5,122,618,142","12,460,311","46,235,673"
2025/07/29,43414870,SIN身寸米青,"100,590,543",62Ys,"201,247,722","332,642,479","8,748,129,680","61,839,233","39,451,973"
2025/07/29,70503548,紅ˣルル・ラクス,"97,529,963",62Ys,"92,028,758","131,563,110","3,573,262,838","28,664,488","39,881,043"
2025/07/29,86462900,HIZAKURA,"96,240,843",62Ys,"149,839,633","359,793,280","8,716,310,926","22,389,723","38,858,373"
2025/07/29,74815838,とちまる00605,"95,781,928",62Ys,"79,679,707","198,786,625","4,791,133,418","20,308,398","38,102,308"
2025/07/29,63729084,ʸˢ BaKuChI Æ,"95,779,223",62Ys,"63,225,345","165,267,921","3,949,614,082","14,630,342","38,249,853"
2025/07/29,21659280,ʚ fibpipi ɞ,"95,367,701",62Ys,"123,252,879","228,338,086","5,841,284,774","33,290,106","37,552,781"
2025/07/29,63797256,管理職キセル Æ,"94,618,036",62Ys,"374,651,592","418,515,973","12,161,544,942","34,511,951","35,864,016"
2025/07/29,69286615,ë火渡丞ë,"93,478,230",62Ys,"155,515,489","296,198,606","7,528,937,201","41,025,635","34,892,610"
2025/07/29,86437914,火将あおくま,"93,446,629",62Ys,"203,189,582","402,522,720","10,127,118,133","35,999,575","34,269,709"
2025/07/29,91496232,紅ˣ ジン,"93,269,424",62Ys,"161,683,529","361,019,029","8,859,744,575","30,920,582","34,684,354"
